Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
MMM,-0.09798438752571292,0.5222951697411181,-0.18048358099446685,-0.4685047107299337,0.3029702546063083,-0.2289287024745073,-0.10837428523874235,-0.04637687610759017,0.25743186607609836,-0.10011130038437727,1.5757142982208598,1.2242421199923728,-0.07140066824071317,-0.5664814300414769,-0.8037288314749569
AOS,-0.2986110113686817,-0.36372304507001635,-0.1225315728082071,-0.08797611855202712,-0.08700259242504371,-0.1754555736876138,-0.2467780868721444,-0.046057203952397215,-0.1029262925969334,0.25245339150243273,-0.07762753675037484,-0.4436851756615965,-0.25448607541106005,-0.46158292074187307,0.07730863627487942
ABT,0.31689698984802017,0.05346922959642437,-0.01923128831083882,-0.029948298043959248,-0.11174651200570435,-0.19890148400186713,-0.20812808907558264,-0.04554975982713608,-0.03284958807719379,-0.7251123450928131,-0.14073218694011666,-0.29475186921722824,0.014814519630280572,-0.01909831699800387,0.026314190632395325
ABBV,0.7204547918078175,0.8014178698249388,-0.22934984672383643,-0.04668709242128653,1.199006610812034,-0.2120641003186409,0.046225705947504615,-0.04655277866497182,0.25734715564708416,-0.9632079811722172,1.468436392898299,-0.1825866114782863,-0.03343382365583932,0.36168128127551036,-0.2940834627078446
ACN,0.41755624347026726,-0.019246627021350445,0.09876406336859753,-0.03329605691942471,-0.017136423040797762,0.1367452320758644,0.11984474936952698,-0.04433907973310875,-0.07636958368979216,0.4584976919557634,-0.33004613750934186,-0.19619943706379508,-0.18152806440365898,-0.3178699725173685,-0.18289759603900024
ADBE,0.3666953224459853,0.23587943397160024,0.025804210549094618,-0.09467163630295804,0.19160976896993273,0.15196450719213406,0.35837045005687945,-0.04501045007141917,-0.1718805881677566,0.5729667477631688,-1.0999228698241916,-1.146479105234402,-0.15757786772058144,1.0165505328802473,0.893369310383486
AMD,0.4835438247353923,4.255984504595247,0.16417306560907258,-0.12535942599472472,-0.13161374532147468,-0.3000890969370656,-0.1974533277793894,-0.04488972424328307,-0.1718805881677566,1.5024554809193045,-1.1756484500518818,0.577803466249482,2.2172477060766256,1.119060461322934,-0.5849462098475258
AES,-0.29613860986050916,-0.4717199065414296,-0.43723261695270865,-0.1208957474941041,-0.1485358970667619,-0.29145112997918277,-0.3218695111626072,-0.04652551109528652,-0.03536973181140849,0.07159228332673163,0.7553538457542166,-0.4300844080516939,0.16691849441825424,-0.32682715073080715,-0.566328003154009
AFL,-0.1330137909864379,-0.5959715603202287,-0.2176148699397094,-0.10192511386646652,-0.1946599669543684,0.055712875375725765,-0.13634952173911083,-0.04427721977599916,-0.13081720982089445,-0.20542283172719072,0.31362129442602404,0.29593237320534815,-0.18021657455691342,-0.34852342684780296,1.0992162412703879
A,-0.20943004241278151,-0.1382956374262517,0.025392103549947757,0.09894041866146075,-0.06694049267948325,-0.13720172001699002,-0.19009142343718716,-0.04566032714891882,-0.1307960322136409,0.03725156658450959,-0.759157758799586,-0.12893750629342407,-0.2270941898488765,0.2229445431695828,0.6062450841934803
